/**************************************************************************
 *** Layout File                                                        ***
 ***                                                                    ***
 *** This file is designed to provide the necessary information so      ***
 *** that NCES survey response data may be used in other statistical    ***
 *** software packages. This file provides variable names, locations,   ***
 *** and short descriptions for all selected variables. Additionally,   ***
 *** for categorical variables, this file also contains the response    ***
 *** codes and value label descriptions.                                ***
 ***                                                                    ***
 *** Full sample weights, replicate weights, and identification         ***
 *** numbers are added automatically to the list of variables selected  ***
 *** by the EDAT and are included here.                                 ***
 *************************************************************************/

/* ASCII Dataset File Name */
els_02_12_byf1sch

/* Total Record Length */
3561

/* Variable Names, Locations, and Descriptions */
SCH_ID         73-76         School ID
BYSCH55        2102-2111     BRR school weight for replicate 55
BYSCH56        2112-2121     BRR school weight for replicate 56
BYSCH57        2122-2131     BRR school weight for replicate 57
BYSCH58        2132-2141     BRR school weight for replicate 58
BYSCH59        2142-2151     BRR school weight for replicate 59
BYSCH60        2152-2161     BRR school weight for replicate 60
BYSCH61        2162-2171     BRR school weight for replicate 61
BYSCH62        2172-2181     BRR school weight for replicate 62
BYSCH63        2182-2191     BRR school weight for replicate 63
BYSCH64        2192-2201     BRR school weight for replicate 64
BYSCH65        2202-2211     BRR school weight for replicate 65
BYSCH66        2212-2221     BRR school weight for replicate 66
BYSCH67        2222-2231     BRR school weight for replicate 67
BYSCH68        2232-2241     BRR school weight for replicate 68
BYSCH69        2242-2251     BRR school weight for replicate 69
BYSCH70        2252-2261     BRR school weight for replicate 70
BYSCH71        2262-2271     BRR school weight for replicate 71
BYSCH72        2272-2281     BRR school weight for replicate 72
BYSCH73        2282-2291     BRR school weight for replicate 73
BYSCH74        2292-2301     BRR school weight for replicate 74
BYSCH75        2302-2311     BRR school weight for replicate 75
BYSCH76        2312-2321     BRR school weight for replicate 76
BYSCH77        2322-2331     BRR school weight for replicate 77
BYSCH78        2332-2341     BRR school weight for replicate 78
BYSCH79        2342-2351     BRR school weight for replicate 79
BYSCH80        2352-2361     BRR school weight for replicate 80
BYSCH81        2362-2371     BRR school weight for replicate 81
BYSCH82        2372-2381     BRR school weight for replicate 82
BYSCH83        2382-2391     BRR school weight for replicate 83
BYSCH84        2392-2401     BRR school weight for replicate 84
BYSCH85        2402-2411     BRR school weight for replicate 85
BYSCH86        2412-2421     BRR school weight for replicate 86
BYSCH87        2422-2431     BRR school weight for replicate 87
BYSCH88        2432-2441     BRR school weight for replicate 88
BYSCH89        2442-2451     BRR school weight for replicate 89
BYSCH90        2452-2461     BRR school weight for replicate 90
BYSCH91        2462-2471     BRR school weight for replicate 91
BYSCH92        2472-2481     BRR school weight for replicate 92
BYSCH93        2482-2491     BRR school weight for replicate 93
BYSCH94        2492-2501     BRR school weight for replicate 94
BYSCH95        2502-2511     BRR school weight for replicate 95
BYSCH96        2512-2521     BRR school weight for replicate 96
BYSCH97        2522-2531     BRR school weight for replicate 97
BYSCH98        2532-2541     BRR school weight for replicate 98
BYSCH99        2542-2551     BRR school weight for replicate 99
BYSCH100       2552-2561     BRR school weight for replicate 100
BYSCH101       2562-2571     BRR school weight for replicate 101
BYSCH102       2572-2581     BRR school weight for replicate 102
BYSCH103       2582-2591     BRR school weight for replicate 103
BYSCH104       2592-2601     BRR school weight for replicate 104
BYSCH105       2602-2611     BRR school weight for replicate 105
BYSCH106       2612-2621     BRR school weight for replicate 106
BYSCH107       2622-2631     BRR school weight for replicate 107
BYSCH108       2632-2641     BRR school weight for replicate 108
BYSCH109       2642-2651     BRR school weight for replicate 109
BYSCH110       2652-2661     BRR school weight for replicate 110
BYSCH111       2662-2671     BRR school weight for replicate 111
BYSCH112       2672-2681     BRR school weight for replicate 112
BYSCH113       2682-2691     BRR school weight for replicate 113
BYSCH114       2692-2701     BRR school weight for replicate 114
BYSCH115       2702-2711     BRR school weight for replicate 115
BYSCH116       2712-2721     BRR school weight for replicate 116
BYSCH117       2722-2731     BRR school weight for replicate 117
BYSCH118       2732-2741     BRR school weight for replicate 118
BYSCH119       2742-2751     BRR school weight for replicate 119
BYSCH120       2752-2761     BRR school weight for replicate 120
BYSCH121       2762-2771     BRR school weight for replicate 121
BYSCH122       2772-2781     BRR school weight for replicate 122
BYSCH123       2782-2791     BRR school weight for replicate 123
BYSCH124       2792-2801     BRR school weight for replicate 124
BYSCH125       2802-2811     BRR school weight for replicate 125
BYSCH126       2812-2821     BRR school weight for replicate 126
BYSCH127       2822-2831     BRR school weight for replicate 127
BYSCH128       2832-2841     BRR school weight for replicate 128
BYSCH129       2842-2851     BRR school weight for replicate 129
BYSCH130       2852-2861     BRR school weight for replicate 130
BYSCH131       2862-2871     BRR school weight for replicate 131
BYSCH132       2872-2881     BRR school weight for replicate 132
BYSCH133       2882-2891     BRR school weight for replicate 133
BYSCH134       2892-2901     BRR school weight for replicate 134
BYSCH135       2902-2911     BRR school weight for replicate 135
BYSCH136       2912-2921     BRR school weight for replicate 136
BYSCH137       2922-2931     BRR school weight for replicate 137
BYSCH138       2932-2941     BRR school weight for replicate 138
BYSCH139       2942-2951     BRR school weight for replicate 139
BYSCH140       2952-2961     BRR school weight for replicate 140
BYSCH141       2962-2971     BRR school weight for replicate 141
BYSCH142       2972-2981     BRR school weight for replicate 142
BYSCH143       2982-2991     BRR school weight for replicate 143
BYSCH144       2992-3001     BRR school weight for replicate 144
BYSCH145       3002-3011     BRR school weight for replicate 145
BYSCH146       3012-3021     BRR school weight for replicate 146
BYSCH147       3022-3031     BRR school weight for replicate 147
BYSCH148       3032-3041     BRR school weight for replicate 148
BYSCH149       3042-3051     BRR school weight for replicate 149
BYSCH150       3052-3061     BRR school weight for replicate 150
BYSCH151       3062-3071     BRR school weight for replicate 151
BYSCH152       3072-3081     BRR school weight for replicate 152
BYSCH153       3082-3091     BRR school weight for replicate 153
BYSCH154       3092-3101     BRR school weight for replicate 154
BYSCH155       3102-3111     BRR school weight for replicate 155
BYSCH156       3112-3121     BRR school weight for replicate 156
BYSCH157       3122-3131     BRR school weight for replicate 157
BYSCH158       3132-3141     BRR school weight for replicate 158
BYA04          120-121       Way of teaching students with different abilities
BYA05          122-123       Crime in students' neighborhood
BYSCH159       3142-3151     BRR school weight for replicate 159
BYSCH160       3152-3161     BRR school weight for replicate 160
BYA06          124-125       Type of academic calendar
BYA07          126-128       # of days in school year for 10th graders
BYSCH161       3162-3171     BRR school weight for replicate 161
BYSCH162       3172-3181     BRR school weight for replicate 162
BYA08          129-130       # class periods in day for 10th graders
BYA09          131-133       # of minutes of average 10th grade class period
BYSCH163       3182-3191     BRR school weight for replicate 163
BYSCH164       3192-3201     BRR school weight for replicate 164
BYA10          134-135       Typical semester class load for 10th graders
BYA11          136-137       School is coeducational
BYSCH165       3202-3211     BRR school weight for replicate 165
BYSCH166       3212-3221     BRR school weight for replicate 166
BYA12A         138-140       % in school-sponsored community service
BYA12B         141-143       % in work study program
BYSCH167       3222-3231     BRR school weight for replicate 167
BYSCH168       3232-3241     BRR school weight for replicate 168
BYA12C         144-146       % in academic counseling program
BYA12D         147-149       % in vocational counseling program
BYSCH169       3242-3251     BRR school weight for replicate 169
BYSCH170       3252-3261     BRR school weight for replicate 170
BYA12E         150-152       % in dropout prevention program
BYA12F         153-155       % in gang prevention program
BYSCH171       3262-3271     BRR school weight for replicate 171
BYSCH172       3272-3281     BRR school weight for replicate 172
BYA12G         156-158       % in alcohol/drug prevention program
BYA12H         159-161       % in AIDS education program
BYSCH173       3282-3291     BRR school weight for replicate 173
BYSCH174       3292-3301     BRR school weight for replicate 174
BYA12I         162-164       % in crisis prevention program
BYA13          165-166       When parents notified of absences
BYSCH175       3302-3311     BRR school weight for replicate 175
BYSCH176       3312-3321     BRR school weight for replicate 176
BYA14A         167-169       % 10th graders in general high school program
BYA14B         170-172       % 10th graders in college prep program
BYSCH177       3322-3331     BRR school weight for replicate 177
BYSCH178       3332-3341     BRR school weight for replicate 178
BYA14C         173-175       % 10th graders in other specialized programs
BYA14D         176-178       % 10th graders in voc/tech/business program
BYSCH179       3342-3351     BRR school weight for replicate 179
BYSCH180       3352-3361     BRR school weight for replicate 180
BYA14E         179-181       % 10th graders in special ed program
BYA14F         182-184       % 10th graders in alternative program
BYSCH181       3362-3371     BRR school weight for replicate 181
BYSCH182       3372-3381     BRR school weight for replicate 182
BYA14G         185-187       % 10th graders receive bilingual education
BYA14H         188-190       % 10th graders receive ESL
BYSCH183       3382-3391     BRR school weight for replicate 183
BYSCH184       3392-3401     BRR school weight for replicate 184
BYA14I         191-193       % 10th graders receive remedial reading
BYA14J         194-196       % 10th graders receive remedial math
BYSCH185       3402-3411     BRR school weight for replicate 185
BYSCH186       3412-3421     BRR school weight for replicate 186
BYA14K         197-199       % 10th graders in after school/summer outreach
BYA15A         200-201       Students develop career plan
BYSCH187       3422-3431     BRR school weight for replicate 187
BYSCH188       3432-3441     BRR school weight for replicate 188
BYA15B         202-203       Students select career major/pathway
BYA15C         204-205       Students in program to prepare for college
BYSCH189       3442-3451     BRR school weight for replicate 189
BYSCH190       3452-3461     BRR school weight for replicate 190
BYA16          206-207       Vocational-technical programs offered
BYA17A         208-209       Agriculture/renewable resource courses offered
BYSCH191       3462-3471     BRR school weight for replicate 191
BYSCH192       3472-3481     BRR school weight for replicate 192
BYA17B         210-211       Business courses offered
BYA17C         212-213       Marketing/distribution courses offered
BYSCH193       3482-3491     BRR school weight for replicate 193
BYSCH194       3492-3501     BRR school weight for replicate 194
BYA17D         214-215       Health care courses offered
BYA17E         216-217       Public/protective service courses offered
BYSCH195       3502-3511     BRR school weight for replicate 195
BYSCH196       3512-3521     BRR school weight for replicate 196
BYA17F         218-219       Construction courses offered
BYA17G         220-221       Mechanics and repair courses offered
BYSCH197       3522-3531     BRR school weight for replicate 197
BYSCH198       3532-3541     BRR school weight for replicate 198
BYA17H         222-223       Precisions production courses offered
BYA17I         224-225       Trade/industry/transportation courses offered
BYSCH199       3542-3551     BRR school weight for replicate 199
BYSCH200       3552-3561     BRR school weight for replicate 200
BYA17J         226-227       Computer technology courses offered
BYA17K         228-229       Communication technology courses offered
BYA17L         230-231       Other technology courses offered
BYA17M         232-233       Food service and hospitality courses offered
BYA17N         234-235       Child care/education courses offered
BYA17O         236-237       Personal and other services courses offered
BYA17P         238-239       Other occupational courses offered
BYA17Q         240-241       Family/consumer sciences courses offered
BYA17R         242-243       Industrial arts/technology courses offered
BYA18A         244-245       Cooperative education offered to 10th graders
BYA18B         246-247       Internships offered to 10th graders
BYA18C         248-249       Job shadowing offered to 10th graders
BYA18D         250-251       Mentoring offered to 10th graders
BYA18E         252-253       Community service offered to 10th graders
BYA18F         254-255       School-based enterprise offered to 10th graders
BYA19AA        256-257       Baseball offered to males
BYA19AB        258-259       Baseball offered to females
BYA19BA        260-261       Softball offered to males
BYA19BB        262-263       Softball offered to females
BYA19CA        264-265       Basketball offered to males
BYA19CB        266-267       Basketball offered to females
BYA19DA        268-269       Football offered to males
BYA19DB        270-271       Football offered to females
BYA19EA        272-273       Soccer offered to males
BYA19EB        274-275       Soccer offered to females
BYA19FA        276-277       Swim team offered to males
BYA19FB        278-279       Swim team offered to females
BYA19GA        280-281       Ice hockey offered to males
BYA19GB        282-283       Ice hockey offered to females
BYA19HA        284-285       Field hockey offered to males
BYA19HB        286-287       Field hockey offered to females
BYA19IA        288-289       Volleyball offered to males
BYA19IB        290-291       Volleyball offered to females
BYA19JA        292-293       Lacrosse offered to males
BYA19JB        294-295       Lacrosse offered to females
BYA19KA        296-297       Tennis offered to males
BYA19KB        298-299       Tennis offered to females
BYA19LA        300-301       Cross-country offered to males
BYA19LB        302-303       Cross-country offered to females
BYA19MA        304-305       Track offered to males
BYA19MB        306-307       Track offered to females
BYA19NA        308-309       Golf offered to males
BYA19NB        310-311       Golf offered to females
BYA19OA        312-313       Gymnastics offered to males
BYA19OB        314-315       Gymnastics offered to females
BYA19PA        316-317       Wrestling offered to males
BYA19PB        318-319       Wrestling offered to females
BYA19QA        320-321       Cheerleading offered to males
BYA19QB        322-323       Cheerleading offered to females
BYA19RA        324-325       Drill team offered to males
BYA19RB        326-327       Drill team offered to females
BYA19SA        328-329       Other sport offered to males
BYA19SB        330-331       Other sport offered to females
BYA19TA        332-333       No sports offered to males
BYA19TB        334-335       No sports offered to females
BYA20          336-338       % 10th graders are LEP or non-English proficient
BYA22B         339-340       # of part-time teachers
BYA23A         341-342       # of full-time math teachers
BYA23B         343-344       # of full-time science teachers
BYA23C         345-346       # of full-time art teachers
BYA23D         347-348       # of full-time music teachers
BYA23E         349-350       # of full-time English teachers
BYA23F         351-352       # of full-time foreign language teachers
BYA23G         353-354       # of full-time social sciences teachers
BYA23H         355-356       # of full-time history teachers
BYA23I         357-358       # of full-time vocational education teachers
BYA23J         359-360       # of full-time physical education teachers
BYA23K         361-362       # full-time guidance counselors
BYA23L         363-364       # full-time special education teachers
BYA24A         365-367       % full-time teachers are certified
BYA24B         368-370       % part-time teachers are certified
BYA25A         371-373       % full-time teachers teach out of field
BYA25B         374-376       % part-time teachers teach out of field
BYA26A         377-381       Lowest salary paid to full-time teachers
BYA26B         382-386       Highest salary paid to full-time teachers
BYA27A         387-388       Principal/administrator evaluates teachers
BYA27B         389-390       Teachers evaluate teachers
BYA27C         391-392       Students evaluate teachers
BYA28A         393-394       Good teachers given special awards
BYA28B         395-396       Good teachers assigned to better students
BYA28C         397-398       Good teachers given a lighter teaching load
BYA28D         399-400       Good teachers relieved of administrative/disciplinary duties
BYA28E         401-402       Good teachers given priority on requests for materials
BYA28F         403-404       Good teachers receive higher pay
BYA28G         405-406       Good teachers are not recognized in these ways
BYA29          407-408       Content standards for academic subjects
BYA30          409-410       Main source of content standards
BYA31          411-412       Content standards linked with performance standards
BYA32          413-414       Students must pass a test for high school diploma
BYA33AA        415-416       Minimum competency test given in grade 7
BYA33AB        417-418       Math is on grade 7 competency test
BYA33AC        419-420       Science is on grade 7 competency test
BYA33AD        421-422       English is on grade 7 competency test
BYA33AE        423-424       History/social studies is on grade 7 competency test
BYA33BA        425-426       Minimum competency test given in grade 8
BYA33BB        427-428       Math is on grade 8 competency test
BYA33BC        429-430       Science is on grade 8 competency test
BYA33BD        431-432       English is on grade 8 competency test
BYA33BE        433-434       History/social studies is on grade 8 competency test
BYA33CA        435-436       Minimum competency test given in grade 9
BYA33CB        437-438       Math is on grade 9 competency test
BYA33CC        439-440       Science is on grade 9 competency test
BYA33CD        441-442       English is on grade 9 competency test
BYA33CE        443-444       History/social studies is on grade 9 competency test
BYA33DA        445-446       Minimum competency test given in grade 10
BYA33DB        447-448       Math is on grade 10 competency test
BYA33DC        449-450       Science is on grade 10 competency test
BYA33DD        451-452       English is on grade 10 competency test
BYA33DE        453-454       History/social studies is on grade 10 competency test
BYA33EA        455-456       Minimum competency test given in grade 11
BYA33EB        457-458       Math is on grade 11 competency test
BYA33EC        459-460       Science is on grade 11 competency test
BYA33ED        461-462       English is on grade 11 competency test
BYA33EE        463-464       History/social studies is on grade 11 competency test
BYA33FA        465-466       Minimum competency test given in grade 12
BYA33FB        467-468       Math is on grade 12 competency test
BYA33FC        469-470       Science is on grade 12 competency test
BYA33FD        471-472       English is on grade 12 competency test
BYA33FE        473-474       History/social studies is on grade 12 competency test
BYA34A         475-476       Competency test is state requirement
BYA34B         477-478       Competency test is district requirement
BYA34C         479-480       Competency test is school requirement
BYA35          481-482       Competency test tied to content standards
BYA36          483-485       % fail competency test on first attempt
BYA37A         486-487       Retake competency test if failed
BYA37B         488-489       Take remedial class if fail competency test
BYA37C         490-491       Complete competency test preparation class if fail
BYA37D         492-493       Tutoring/individualized academic program if fail competency test
BYA37E         494-495       Summer school if fail competency test
BYA37F         496-497       Referred to alternative/continuing ed school if fail competency test
BYA38A         498-499       Control access to buildings during school hours
BYA38B         500-501       Control access to grounds during school hours
BYA38C         502-503       Require students pass through metal detector
BYA38D         504-505       Random metal detector checks on students
BYA38E         506-507       Close campus for students during lunch
BYA38F         508-509       Random dog sniffs to check for drugs
BYA38G         510-511       Random sweeps for contraband
BYA38H         512-513       Require drug testing for any students
BYA38I         514-515       Require students to wear uniforms
BYA38J         516-517       Enforce strict dress code
BYA38K         518-519       Require clear book bags/ban book bags
BYA38L         520-521       Require students to wear badges/picture ID
BYA38M         522-523       Require faculty/staff to wear badges/picture ID
BYA38N         524-525       Use security cameras to monitor school
BYA38O         526-527       Telephones in most classrooms
BYA38P         528-529       Emergency call button in classrooms
BYA39A         530-531       Process to get parent input on discipline policies
BYA39B         532-533       Training parents to deal with problem behavior
BYA39C         534-535       Program involves parents in school discipline
BYA40A         536-537       Use paid security at any time during school hours
BYA40B         538-539       Use paid security as students arrive or leave
BYA40C         540-541       Use paid security at school activities
BYA40D         542-543       Use paid security outside of school hours/activities
BYA40E         544-545       Use paid security at other time
BYA41A         546-547       Teachers have access to cable TV
BYA41B         548-549       Teachers have access to closed-circuit TV
BYA41C         550-551       Teachers have access to videodisc player/VCR/DVD
BYA41D         552-553       Teachers have access to video camera
BYA41E         554-555       Teachers have access to video production studio
BYA41F         556-557       Teachers have access to satellite TV hook-up
BYA41G         558-559       Teachers have access to videoconferencing equipment
BYA41H         560-561       Teachers have access to digital camera
BYA41I         562-563       Teachers have access to scanner
BYA41J         564-565       Teachers have access to LCD panel
BYA41K         566-567       Teachers have access to laptop computer
BYA41L         568-569       Teachers have access to Internet
BYA41M         570-571       Teachers have access to computer printer
BYA42A         572-573       Teachers use computers as instructional tools
BYA42B         574-575       Teachers use computers to plan lessons
BYA42C         576-577       Teachers use computers for professional development courses
BYA42D         578-579       Teachers use computers to communicate with colleagues
BYA42E         580-581       Teachers use computers to access best practices
BYA42F         582-583       Teachers use computers to communicate with parents
BYA42G         584-585       Teachers use computers to post homework
BYA42H         586-587       Teachers/staff use computers to communicate with each other
BYA42I         588-589       Teachers use computers to teach job skills
BYA42J         590-591       Administrative staff use computers for administrative purposes
BYA42K         592-593       Administrative staff use computers to communicate with colleagues
BYA42L         594-595       Administrative staff use computers to communicate with parents
BYA42M         596-597       School offers students distance learning courses
BYA42N         598-599       Teachers have access to Internet professional development programs
BYA43A         600-601       Teacher training on use of new software
BYA43B         602-603       Teacher training on use of Internet
BYA43C         604-605       Teacher training on using computers to teach skills
BYA43D         606-607       Teacher training on integrating computer into class
BYA43E         608-609       Teacher training on basic computer literacy
BYA44A         610-611       Computers in administrative offices
BYA44B         612-613       Computers in teacher work rooms
BYA44C         614-615       Computers in classrooms
BYA44D         616-617       Computers in the library media center
BYA44E         618-619       Computers in separate computer lab
BYA46A         620-621       Principal's influence on hiring/firing teachers
BYA46B         622-623       Principal's influence on grouping students
BYA46C         624-625       Principal's influence on course offerings
BYA46D         626-627       Principal's influence on instructional materials
BYA46E         628-629       Principal's influence on curricular guidelines
BYA46F         630-631       Principal's influence on grading and evaluation
BYA46G         632-633       Principal's influence on discipline policies
BYA46H         634-635       Principal's influence on school funds
BYA47A         636-637       School's relationship with school board
BYA47B         638-639       School's relationship with central office
BYA47C         640-641       School's relationship with teachers' association
BYA48A         642-643       Principal evaluated on standardized test scores
BYA48B         644-645       Principal evaluated on school environment
BYA48C         646-647       Principal evaluated on efficient administration
BYA48D         648-649       Principal evaluated on parent involvement
BYA48E         650-651       Principal evaluated on relationship with community
BYA48F         652-653       Principal evaluated on new programs/reform
BYA49A         654-655       How often tardiness a problem at school
BYA49B         656-657       How often absenteeism a problem at school
BYA49C         658-659       How often class cutting a problem at school
BYA49D         660-661       How often physical conflicts a problem at school
BYA49E         662-663       How often robbery/theft a problem at school
BYA49F         664-665       How often vandalism a problem at school
BYA49G         666-667       How often use of alcohol a problem at school
BYA49H         668-669       How often use of illegal drugs a problem at school
BYA49I         670-671       How often students on drugs/alcohol at school a problem
BYA49J         672-673       How often sale of drugs near school a problem
BYA49K         674-675       How often possession of weapons a problem at school
BYA49L         676-677       How often physical abuse of teachers a problem at school
BYA49M         678-679       How often racial tension among students a problem at school
BYA49N         680-681       How often student bullying a problem at school
BYA49O         682-683       How often verbal abuse of teachers a problem at school
BYA49P         684-685       How often disorder in classrooms a problem at school
BYA49Q         686-687       How often student disrespect for teachers a problem at school
BYA49R         688-689       How often gang activity a problem at school
BYA49S         690-691       How often cult/extremist group activities a problem at school
BYA50A         692-693       Learning hindered by poor condition of buildings
BYA50B         694-695       Learning hindered by poor heating/air/light
BYA50C         696-697       Learning hindered by poor science labs
BYA50D         698-699       Learning hindered by poor fine arts facilities
BYA50E         700-701       Learning hindered by lack of space
BYA50F         702-703       Learning hindered by poor library
BYA50G         704-705       Learning hindered by lack of texts/supplies
BYA50H         706-707       Learning hindered by too few computers
BYA50I         708-709       Learning hindered by lack of multi-media
BYA50J         710-711       Learning hindered by lack of discipline/safety
BYA50K         712-713       Learning hindered by poor voc/tech equipment/facilities
BYA51A         714-715       Student morale is high
BYA51B         716-717       Teachers press students to achieve
BYA51C         718-719       Teacher morale is high
BYA51D         720-721       Learning is high priority for students
BYA51E         722-723       Students expected to do homework
BYA53          724-729       Date completed interview
F1A02          730-732       # of days in school year for 12th graders
F1A03          733-734       Type of academic calendar
F1A04AA        735-736       Academic courses are block scheduled
F1A04AB        737-739       # of minutes in block for academic courses
F1A04BA        740-741       Vocational/technical courses are block scheduled
F1A04BB        742-744       # of minutes in block for vocational/technical courses
F1A04CA        745-746       Other courses are block scheduled
F1A04CB        747-749       # of minutes in block for other courses
F1A05A         750-751       Students in area or district attend the school
F1A05B         752-753       Students in area or district attend the school/transfers allowed
F1A05C         754-755       Students assigned to school to achieve racial/ethnic composition
F1A05D         756-757       Students admitted to school based on test/audition/other criterion
F1A05E         758-759       Students admitted to school based on lottery/random selection
F1A05F         760-761       Students admitted on first-come first-serve basis
F1A06A         762-763       Influence of teachers on selecting 12th grader's courses
F1A06B         764-765       Influence of department head on selecting 12th grader's courses
F1A06C         766-767       Influence of counselors on selecting 12th grader's courses
F1A06D         768-769       Influence of coaches on selecting 12th grader's courses
F1A06E         770-771       Influence of parents on selecting 12th grader's courses
F1A06F         772-773       Influence of student's preferences on selecting 12th grader's courses
F1A06G         774-775       Influence of student's grades on selecting 12th grader's courses
F1A06H         776-777       Influence of student's test scores on selecting 12th grader's courses
F1A06I         778-779       Influence of student attendance on selecting 12th grader's courses
F1A06J         780-781       Influence of special education on selecting 12th grader's courses
F1A06K         782-783       Influence of potential for dropout on selecting 12th grader's courses
F1A07A         784-785       Years of English coursework required to graduate
F1A07B         786-787       Years of mathematics coursework required to graduate
F1A07C         788-789       Years of science coursework required to graduate
F1A07D         790-791       Years of history/social studies coursework required to graduate
F1A07E         792-793       Years of computer coursework required to graduate
F1A07F         794-795       Years of foreign language coursework required to graduate
F1A07G         796-797       Years of fine arts coursework required to graduate
F1A07H         798-799       Years of physical education/health coursework required to graduate
F1A08A         800-801       School confers regular/honors diplomas
F1A08B         802-803       School confers International Baccalaureate diplomas
F1A08C         804-805       School confers diplomas with special education adjustments
F1A08D         806-807       School confers diplomas with vocational/technical skills certificate
F1A08E         808-809       School confers certificates of attendance
F1A08F         810-811       School confers GED/other equivalency
F1A09          812-813       Minimum GPA required to participate in school activities
F1A10          814-815       Availability of a vocational/technical program
F1A11A         816-817       Student request used to decide enrollment in vocational program
F1A11B         818-819       Parent request used to decide enrollment in vocational program
F1A11C         820-821       Counselor referral used to decide enrollment in vocational program
F1A11D         822-823       Teacher referral used to decide enrollment in vocational program
F1A11E         824-825       Academic performance used to decide enrollment in vocational program
F1A11F         826-827       Attendance record used to decide enrollment in vocational program
F1A11G         828-829       Special education need used to decide enrollment in vocational program
